"ID";"Telefon dienstlich";"Mobiltelefon";"Fax";"Telefon privat";"Pager-Nummer";"Andere Telefonnummer";"E-Mail dienstlich";"E-Mail privat";"Andere E-Mail";"Verantwortlich";"Logo";"Unternehmensname";"Unternehmenstyp";"Mitarbeiter";"Unternehmenswebsite";"Persönliche Seite";"Facebook-Seite";"LiveJournal";"Twitter";"Andere Website";"Skype-ID";"ICQ-Nummer";"MSN/Live!";"Jabber";"Andere Kontaktmöglichkeit";"Adresse";"Straße";"Zimmernummer / Raum";"Stadt";"Region";"Bundesland / Kanton";"PLZ";"Land";"Rechnungsadresse";"Straße (für Rechnungen)";"Zimmernummer / Raum (für Rechnungen)";"Stadt (für Rechnungen)";"Region (für Rechnungen)";"Bundesland / Kanton (für Rechnungen)";"PLZ (für Rechnungen)";"Land (für Rechnungen)";"Bankverbindung";"Branche";"Jahresgewinn";"Währung";"Kommentar";"Erstellt von";"Erstellt am";"Geändert von";"Geändert am";"Zusatz";"Straße";"PLZ";"Ort";"Land";"Sperrvermerk";"Attribute";"Klientensegmentierung";"Wunschklient";"Letzte Rechnungsstellung (Jahr)";"VS_Kontaktperson";
"518";"+49 (941) 790 - 0";"";"";"";"";"";"";"";"";"Tim Comanns";"";"Continental Automotive GmbH";"";"";"http://www.continental-corporation.com";"";"";"";"";"";"";"";"";"";"";"Siemensstrasse 12<br />
93055 Regensburg<br/>";"Siemensstrasse 12
93055 Regensburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Rechnungsanschrift:
Continental Automotive GmbH 
Osterhofener Straße 11 (Business Park) 
93055 Regensburg";"Tim Comanns";"19.12.2013 15:19:15";"Boris Kesseler";"15.01.2014 13:25:23";"";"Siemensstrasse 12";"93055";"Regensburg";"DE";"";"";"";"nein";"";"Nicole Tietz";
"1148";"+49 (2131) 40 66 9-0";"";"";"";"";"";"";"";"";"Lars Vollmer";"";"Institut für Einzelfertiger GmbH, ife";"# nicht ausgewählt #";"<100";"http://www.ife-institut-einzelfertiger.de";"";"";"";"";"";"";"";"";"";"";"Rathausstraße 1<br />
41564 Kaarst<br/>";"Rathausstraße 1
41564 Kaarst";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Tim Comanns";"19.12.2013 15:19:35";"Nicole Tietz";"17.09.2014 10:04:08";"";"Rathausstraße 1";"41564";"Kaarst";"DE";"";"";"";"nein";"0";"Lars Vollmer";
"951";"+49 (7131) 39096-10";"";"+49 (7131) 39096-50";"";"";"";"";"";"";"Benno Löffler";"";"Halmosi GmbH";"";"";"http://www.halmosi.de/";"";"";"";"";"";"";"";"";"";"";"Pfaffenstr. 51<br />
74078 Heilbronn<br/>";"Pfaffenstr. 51
74078 Heilbronn";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:29";"Azra Avdagic";"09.03.2015 13:39:59";"";"Pfaffenstr. 51";"74078";"Heilbronn";"DE";"";"";"";"nein";"";"Benno Löffler";
"875";"+49 (4532) 289-0";"";"";"";"";"";"";"";"";"Martin Mittendorf";"";"Getriebebau Nord GmbH & Co.KG";"# nicht ausgewählt #";"<100";"http://www.nord.com/";"";"";"";"";"";"";"";"";"";"";"Getriebebau-Nord-Str. 1<br />
22941 Bargteheide<br/>";"Getriebebau-Nord-Str. 1
22941 Bargteheide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Straßenname hat sich geändert. 22.9.16<br>";"Tim Comanns";"19.12.2013 15:19:27";"Nicole Tietz";"22.09.2016 12:38:42";"";"Getriebebau-Nord-Str. 1";"22941";"Bargteheide";"DE";"";"";"";"ja";"";"Nicole Tietz";
"1443";"+49 (831) 57444-0";"";"";"";"";"+49 (171) 1400363";"";"";"";"Andreas Simon";"";"mimatic GmbH";"";"";"http://www.mimatic.de";"";"";"";"";"";"";"";"";"";"";"Westendstraße 3<br />
87488 Betzigau<br/>";"Westendstraße 3
87488 Betzigau";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:44";"Tim Comanns";"17.01.2014 20:09:16";"";"Westendstraße 3";"87488";"Betzigau";"DE";"";"";"";"nein";"";"Kai Raedisch";
"2006";"+49 (6181) 35-0";"";"";"";"";"";"";"";"";"Tim Comanns";"";"W.C. Heraeus GmbH - MCD Medical Components";"";"";"http://wc-heraeus.de/de/home/hmt_hpm.aspx";"";"";"";"";"";"";"";"";"";"";"Heraeusstrasse 12-14<br />
63450 Hanau<br/>";"Heraeusstrasse 12-14
63450 Hanau";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:20:03";"Tim Comanns";"19.12.2013 15:20:03";"Division";"Heraeusstrasse 12-14";"63450";"Hanau";"DE";"";"";"";"nein";"";"Nicole Tietz";
"2156";"";"";"";"";"";"";"";"";"";"Benno Löffler";"";"CPC Unternehmensmanagement AG";"# nicht ausgewählt #";"<100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"THE SQUAIRE 11<br />
Am Flughafen<br />
60549 Frankfurt am Main<br/>";"THE SQUAIRE 11
Am Flughafen
60549 Frankfurt am Main";"";"";"";"";"";"";"";"Consulting";"0";"Euro";"";"Nicole Tietz";"10.02.2014 18:31:35";"Nicole Tietz";"10.02.2014 18:31:35";"";"";"";"";"";"";"";"";"nein";"";"";
"1213";"+49 (9561) 866-0";"";"";"";"";"";"";"";"";"Tim Comanns";"";"KAPP Werkzeugmaschinen GmbH";"";"";"http://www.kapp-niles.com";"";"";"";"";"";"";"";"";"";"";"Callenberger Straße 52<br />
96450 Coburg<br/>";"Callenberger Straße 52
96450 Coburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:37";"Nicole Tietz";"05.12.2014 14:45:06";"";"Callenberger Straße 52";"96450";"Coburg";"DE";"";"";"";"ja";"";"Nicole Tietz";
"838";"+49 (7022) 77-0";"";"+49 (7022) 77-5000";"";"";"";"info@heller.biz";"";"";"Benno Löffler";"";"Gebr. Heller Maschinenfabrik GmbH";"# nicht ausgewählt #";"<100";"http://www.heller.biz";"";"";"";"";"";"";"";"";"";"";"Gebrüder-Heller-Str. 15<br />
72622 Nürtingen<br/>";"Gebrüder-Heller-Str. 15
72622 Nürtingen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"GROB und MAG sind Wettbewerber<br>MA: 2450 in 2009<br>Umsatz 2013: 532,7 Millionen EUR<br>";"Tim Comanns";"19.12.2013 15:19:25";"Tim Comanns";"26.08.2016 09:16:20";"";"Gebr. Heller Str.15";"72622";"Nürtingen";"DE";"";"Höchstleisterstudie 2014: Potenzieller Kandidat";"";"ja";"0";"Lars Vollmer";
"1115";"+49 (511) 762-0";"";"+49 (511) 762-3814";"";"";"";"";"";"";"Tim Comanns";"";"IFA Institut für Fabrikanlagen und";"";"";"http://www.ifa.uni-hannover.de/";"";"";"";"";"";"";"";"";"";"";"An der Universität 2<br />
30823 Garbsen<br/>";"An der Universität 2
30823 Garbsen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:34";"Tim Comanns";"19.12.2013 15:19:34";"Logistik";"An der Universität 2";"30823";"Garbsen";"DE";"";"";"";"nein";"";"Nicole Tietz";
"1444";"+49 (177) 696 3333";"";"";"";"";"";"kanitz@mind4tools.de";"";"";"Tim Comanns";"";"Mind4Tools";"";"";"http://www.mind4tools";"";"";"";"";"";"";"";"";"";"";"Lipper Hellweg 344<br />
33699 Bielefeld<br/>";"Lipper Hellweg 344
33699 Bielefeld";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:44";"Tim Comanns";"19.12.2013 15:19:44";"Dr.-Ing. Frieder Kanitz";"Lipper Hellweg 344";"33699";"Bielefeld";"DE";"";"";"";"nein";"";"Nicole Tietz";
"1313";"+49 (721) 608-0";"";"+49 (721) 608-44290";"";"";"";"";"";"";"Tim Comanns";"";"LEAN Hochschulgruppe e.V. KIT – Karlsruher Institut für";"";"";"http://www.lean-hsg.de/";"";"";"";"";"";"";"";"";"";"";"Kaiserstraße 12 <br />
76131 Karlsruhe<br/>";"Kaiserstraße 12 
76131 Karlsruhe";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:40";"Tim Comanns";"19.12.2013 15:19:40";"Technologie";"Kaiserstraße 12";"76131";"Karlsruhe";"DE";"";"";"";"nein";"";"Lars Vollmer";
"1477";"+49 (511) 283 77-0";"";"+49 (511) 283 77 77";"";"";"";"zentrale@NahmeReinicke.de";"";"";"Tim Comanns";"";"NAHME & REINICKE GbR";"";"";"http://www.NahmeReinicke.de";"";"";"";"";"";"";"";"";"";"";"Leisewitzstr. 41/ 43<br />
30175 Hannover<br/>";"Leisewitzstr. 41/ 43
30175 Hannover";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:45";"Tim Comanns";"19.12.2013 15:19:45";"";"Leisewitzstr. 41/ 43";"30175";"Hannover";"DE";"";"";"";"nein";"";"Andreas Simon";
"569";"+49 (511) 167499-40";"";"+49 (511) 167499-50";"";"";"";"";"";"";"Tim Comanns";"";"Deutsche Bank Privat- und Gesc";"# nicht ausgewählt #";"<100";"https://www.deutsche-bank.de/index.htm";"";"";"";"";"";"";"";"";"";"";"Georgsplatz 20, 30159 Hannover<br/>";"Georgsplatz 20, 30159 Hannover";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"Montag: 		08:30 - 13:00 Uhr 	14:00 - 15:30 Uhr Dienstag: 	08:30 - 13:00 Uhr 	14:00 - 18:00 Uhr Mittwoch: 	08:30 - 13:00 Uhr 	 Donnerstag: 	08:30 - 13:00 Uhr 	14:00 - 18:00 Uhr Freitag: 		08:30 - 14:00 Uhr <br><br>BIC/SWIFT: DEUTDEDBHAN<br>IBAN: DE18 2507 0024 0542 7422 00 <br><br>BLZ 25070024 <br>Kontonr. 5427422";"Tim Comanns";"19.12.2013 15:19:17";"Nicole Tietz";"11.09.2015 09:37:34";"Investment & FinanzCenter Hannover-Engelbosteler Damm";"Georgsplatz 20";"30159 ";"Hannover";"DE";"";"";"";"nein";"0";"Nicole Tietz";
"1319";"+49 (89) 611 804-0";"";"";"";"";"";"";"";"";"Tim Comanns";"";"Leasinggesellschaft der Autobank";"";"";"http://www.autobank-leasing.de/";"";"";"";"";"";"";"";"";"";"";"Keltenring 15<br />
82041 Oberhaching<br/>";"Keltenring 15
82041 Oberhaching";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kundennummer Carglass/DSK: 5107390
Rufnummer Carglass:0800-222 22 22

Nothotline DSK (Pannen...): 0800 -7677587

INFO: Dritte dürfen die DSK-Fahrzeuge fahren, müssen nur einen Führerschein besitzen. lt. Herrn Gibbe 11.02.10";"Tim Comanns";"19.12.2013 15:19:40";"Tim Comanns";"19.12.2013 15:19:40";"(vorher DSK)";"Keltenring 15";"82041";"Oberhaching";"DE";"";"";"";"nein";"";"Nicole Tietz";
"1943";"+49 (40) 507207-0";"";"";"";"";"";"";"";"";"Tim Comanns";"";"VDMA Landesverband Nord";"";"";"http://www.vdma.org/";"";"";"";"";"";"";"";"";"";"";"Weidestraße 134<br />
22083 Hamburg<br/>";"Weidestraße 134
22083 Hamburg";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:20:00";"Tim Comanns";"19.12.2013 15:20:00";"";"Weidestraße 134";"22083";"Hamburg";"DE";"";"";"";"nein";"";"Benno Löffler";
"1144";"+49 (30) 322 98 11-10";"";"+49 (30) 322 98 11 20";"";"";"+49 (30) 322 98 11-20";"";"";"";"Tim Comanns";"";"Insights Group Deutschland GmbH (Berlin)";"";"";"http://www.insights-group.de";"";"";"";"";"";"";"";"";"";"";"Dircksenstraße 41<br />
10178 Berlin<br/>";"Dircksenstraße 41
10178 Berlin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:35";"Tim Comanns";"19.12.2013 15:19:35";"";"Dircksenstraße 41";"10178";"Berlin";"DE";"";"";"";"nein";"";"Nicole Tietz";
"382";"+49 (511) 6262-02";"";"";"";"";"";"";"";"";"Tim Comanns";"";"BMW Niederlassung Hannover (LissabonnerAllee)";"";"";"http://www.bmw.de";"";"";"";"";"";"";"";"";"";"";"Lissabonner Allee 3<br />
30539 Hannover<br/>";"Lissabonner Allee 3
30539 Hannover";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LAV: H-VS 201

für LAV immer den Schnellservice buchen - Räderservice!";"Tim Comanns";"19.12.2013 15:19:11";"Tim Comanns";"19.12.2013 15:19:11";"";"Lissabonner Allee 3";"30539";"Hannover";"DE";"";"";"";"nein";"";"Nicole Tietz";
"513";"";"";"";"";"";"";"";"";"";"Tim Comanns";"";"Consulting Team e.V.";"";"";"http://www.consulting-team.eu";"";"";"";"";"";"";"";"";"";"";"Platz der Göttinger Sieben 3<br />
37073 Göttingen<br/>";"Platz der Göttinger Sieben 3
37073 Göttingen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:15";"Tim Comanns";"19.12.2013 15:19:15";"Studentische Unternehmensberatung";"Platz der Göttinger Sieben 3";"37073";"Göttingen";"DE";"";"";"";"nein";"";"Nicole Tietz";
"1002";"+49 (6181) 35-0";"";"+49 (6181) 35-0";"";"";"";"";"";"";"Benno Löffler";"";"Heraeus Holding GmbH";"# nicht ausgewählt #";"<100";"http://wc-heraeus.de/de/home/hmt_hpm.aspx";"";"";"";"";"";"";"";"";"";"";"Heraeusstraße 12-14<br />
63450 Hanau<br/>";"Heraeusstraße 12-14
63450 Hanau";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"";"";"Tim Comanns";"19.12.2013 15:19:31";"Nicole Tietz";"09.10.2014 10:16:34";"Organisationsentwicklung";"Heraeusstraße 12-14";"63450";"Hanau";"DE";"";"";"";"nein";"2012";"Kai Raedisch";
"1929";"+49 (711) 47 74 57 80";"";"+49 (711) 47 74 57 70";"";"";"";"info@v-und-s.de";"";"";"Tim Comanns";"";"Vollmer & Scheffczyk GmbH (Stuttgart)";"Sonstiges";"<100";"";"";"";"";"";"";"";"";"";"";"";"Feuerseeplatz 14<br />
70176 Stuttgart<br/>";"Feuerseeplatz 14
70176 Stuttgart";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Consulting";"0";"Euro";"Hausmeistervertretung bis 07.09.09, Pauli Nicolay, Handy: 01789832747<div>Handelsregister-Nr: 59206</div>";"Tim Comanns";"19.12.2013 15:20:00";"Tim Comanns";"10.04.2014 15:19:05";"";"Feuerseeplatz 14";"70176";"Stuttgart";"DE";"";"";"";"nein";"";"Nicole Tietz";
"2078";"+49 (4795) 95 39 001";"";"+49 (4795) 95 49 00";"";"";"";"schimpf@wirtschaftsrat.de, veranstaltung-NDS@wirtschaftsrat.de";"";"";"Tim Comanns";"";"Wirtschaftsrat der CDU e.V.";"# nicht ausgewählt #";"<100";"";"";"";"";"";"";"";"";"";"";"";"Birkenheide 46<br />
27711 Osterholz-Scharmbeck<br/>";"Birkenheide 46
27711 Osterholz-Scharmbeck";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"Euro";"";"Tim Comanns";"19.12.2013 15:20:05";"Nicole Tietz";"27.03.2014 14:04:18";"";"Birkenheide 46";"27711";"Osterholz-Scharmbeck";"DE";"";"";"";"nein";"";"Lars Vollmer";
"2000";"";"";"";"";"";"";"";"";"";"Tim Comanns";"";"VWI / ESTIEM Hochschulgruppe Braunschweig e.V.";"";"";"";"";"";"";"";"";"";"";"";"";"";"Pockelstraße 14<br />
38106 Braunschweig<br/>";"Pockelstraße 14
38106 Braunschweig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Mitglied im VWI (Verband Deutscher Wirtschaftsingenieure) 

Member of  ESTIEM (European Students of Industrial Engineering and Management)";"Tim Comanns";"19.12.2013 15:20:02";"Tim Comanns";"19.12.2013 15:20:02";"c/o TU Braunschweig";"Pockelstraße 14";"38106";"Braunschweig";"DE";"";"";"";"nein";"";"Nicole Tietz";
"1652";"+49 (8232) 5003-0";"";"";"";"";"";"";"";"";"Benno Löffler";"";"Ritter GmbH";"# nicht ausgewählt #";"<100";"http://www.ritter-online.de/";"";"";"";"";"";"";"";"";"";"";"Kaufbeurer Str. 55<br />
86830 Schwabmünchen<br/>";"Kaufbeurer Str. 55
86830 Schwabmünchen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"# nicht ausgewählt #";"0";"";"";"Tim Comanns";"19.12.2013 15:19:51";"Beate Büder-Wendelborn";"18.02.2016 09:07:31";"";"Kaufbeurer Str. 55";"86830";"Schwabmünchen";"DE";"";"";"";"ja";"2014";"Benno Löffler";
"1149";"+49 (531) 391-0";"";"+49 (531) 391-5949";"";"";"";"";"";"";"Tim Comanns";"";"Institut für Fabrikbetriebslehre und Unternehmensforschung";"";"";"http://www.ifu.ing.tu-bs.de";"";"";"";"";"";"";"";"";"";"";"Langer Kamp 19<br />
38106 Braunschweig<br/>";"Langer Kamp 19
38106 Braunschweig";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Tim Comanns";"19.12.2013 15:19:35";"Tim Comanns";"19.12.2013 15:19:35";"IFU";"Langer Kamp 19";"38106";"Braunschweig";"DE";"";"";"";"nein";"";"Nicole Tietz";
"2004";"+49 (6181) 35-0";"";"";"";"";"";"";"";"";"Tim Comanns";"";"W.C. Heraeus GmbH - CMD Contact Materials";"";"";"http://wc-heraeus.de/de/home/hmt_hpm.aspx";"";"";"";"";"";"";"";"";"";"";"Heraeusstrasse 12-14<br />
63450 Hanau<br/>";"Heraeusstrasse 12-14
63450 Hanau";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Läufer (bei jedem Wetter)
hat 6 Jahre in Asien gelebt
wohnt in FFM und fühlt sich da pudelwohl
kommt von Siemens Infinion
Frau: Kommunikationswirtin, speziell im Bankenbereich (kommt aus HH)";"Tim Comanns";"19.12.2013 15:20:03";"Tim Comanns";"19.12.2013 15:20:03";"Division";"Heraeusstrasse 12-14";"63450";"Hanau";"DE";"";"";"";"nein";"";"Nicole Tietz";
"748";"+49 (3886) 7077-10";"";"";"";"";"";"";"";"";"Tim Comanns";"";"Fertigungstechnik Nord GmbH";"";"";"https://www.nord.com/cms/de/nord_group/about_us_global/howtofindus/cp_howtofind_ftn.jsp";"";"";"";"";"";"";"";"";"";"";"Trittauer Straße 5<br />
19205 Gadebusch<br/>";"Trittauer Straße 5
19205 Gadebusch";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Ist Tochterunternehmen von Getriebebau Nord GmbH & Co.KG";"Tim Comanns";"19.12.2013 15:19:23";"Tim Comanns";"19.12.2013 15:19:23";"";"Trittauer Straße 5";"19205";"Gadebusch";"DE";"";"";"";"ja";"";"Lars Vollmer";
